                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0433,                0.60488,                  1.001,                0.47266,                0.60501,                0.42418,                0.30189,                 1.2666,                 1.2338,                 1.0994,             0.00036203,             0.00036203,             0.00036203
                     36,                 1.0403,                0.60164,                 1.0018,                0.48401,                0.59484,                0.42266,                0.29986,                 1.2626,                 1.2468,                 1.0938,              0.0003543,              0.0003543,              0.0003543
                     37,                 1.0346,                0.59408,                0.99789,                0.51347,                0.59155,                0.43604,                0.30957,                 1.2641,                 1.2317,                 1.1001,             0.00034656,             0.00034656,             0.00034656
                     38,                 1.0307,                 0.5897,                0.99552,                0.51557,                0.57533,                0.42898,                0.30562,                  1.255,                 1.1994,                 1.0959,             0.00033883,             0.00033883,             0.00033883
                     39,                 1.0361,                 0.5933,                 1.0024,                0.49743,                0.61657,                0.44604,                0.31868,                 1.2569,                 1.1353,                 1.0967,             0.00033109,             0.00033109,             0.00033109
                     40,                  1.034,                0.58677,                 1.0009,                 0.5225,                0.59723,                0.44577,                0.31639,                 1.2624,                  1.153,                 1.0939,             0.00032336,             0.00032336,             0.00032336
                     41,                  1.027,                 0.5835,                0.99624,                0.50399,                0.58331,                0.42976,                 0.3072,                 1.2617,                  1.271,                 1.0978,             0.00031562,             0.00031562,             0.00031562
                     42,                 1.0311,                 0.5836,                 1.0014,                0.51969,                0.59258,                0.44489,                0.31752,                 1.2546,                 1.1901,                 1.0931,             0.00030789,             0.00030789,             0.00030789
                     43,                 1.0165,                 0.5764,                0.99196,                0.51955,                0.59397,                0.43677,                0.31299,                 1.2471,                 1.1888,                 1.0973,             0.00030016,             0.00030016,             0.00030016
                     44,                 1.0079,                0.56919,                0.98831,                0.49826,                0.59623,                0.43745,                0.31331,                 1.2541,                 1.1934,                 1.0923,             0.00029242,             0.00029242,             0.00029242
                     45,                 1.0168,                  0.569,                 0.9931,                0.50661,                0.59029,                0.42723,                0.30587,                 1.2565,                 1.2182,                 1.0924,             0.00028469,             0.00028469,             0.00028469
                     46,                 1.0199,                0.57159,                0.99606,                0.50906,                0.59047,                0.42803,                0.30802,                 1.2597,                 1.2698,                 1.0974,             0.00027695,             0.00027695,             0.00027695
                     47,                  1.008,                0.56908,                0.98896,                0.49652,                0.61301,                0.42369,                0.30493,                 1.2497,                 1.2491,                 1.0937,             0.00026922,             0.00026922,             0.00026922
                     48,                 1.0109,                0.56386,                 0.9909,                 0.5063,                0.59666,                0.43992,                 0.3161,                 1.2479,                 1.1981,                 1.0927,             0.00026148,             0.00026148,             0.00026148
                     49,                 1.0089,                0.56081,                0.99038,                0.51189,                0.59163,                0.42989,                0.30725,                 1.2603,                 1.2371,                 1.1002,             0.00025375,             0.00025375,             0.00025375
                     50,                0.99854,                0.55634,                0.98537,                0.50993,                0.59673,                 0.4309,                0.30869,                 1.2501,                 1.2037,                 1.0912,             0.00024602,             0.00024602,             0.00024602
                     51,                0.99514,                0.55148,                0.98488,                0.50569,                0.59768,                 0.4339,                0.31236,                   1.25,                 1.2626,                 1.0984,             0.00023828,             0.00023828,             0.00023828
                     52,                0.99544,                0.54886,                0.98232,                 0.5203,                0.58415,                0.43214,                0.30959,                 1.2563,                 1.2322,                 1.0942,             0.00023055,             0.00023055,             0.00023055
                     53,                0.99375,                0.54947,                 0.9849,                 0.5155,                0.59876,                0.42511,                 0.3051,                 1.2521,                 1.2269,                  1.096,             0.00022281,             0.00022281,             0.00022281
                     54,                 0.9896,                0.54886,                0.98202,                0.50465,                0.60323,                0.42521,                0.30536,                 1.2546,                 1.2666,                 1.0956,             0.00021508,             0.00021508,             0.00021508
                     55,                0.98806,                0.54489,                0.98112,                0.51733,                0.58948,                 0.4432,                0.31993,                 1.2518,                 1.2825,                 1.0946,             0.00020734,             0.00020734,             0.00020734
                     56,                0.98083,                0.53676,                 0.9789,                0.51949,                0.59354,                0.43285,                 0.3118,                 1.2526,                 1.2863,                 1.0951,             0.00019961,             0.00019961,             0.00019961
                     57,                0.98231,                0.53693,                0.97975,                0.51859,                0.58223,                0.43984,                0.31747,                 1.2492,                 1.2594,                 1.0989,             0.00019188,             0.00019188,             0.00019188
                     58,                0.97912,                 0.5362,                0.97984,                0.51084,                0.59943,                0.43333,                0.31329,                 1.2516,                 1.2696,                 1.0997,             0.00018414,             0.00018414,             0.00018414
                     59,                0.96963,                0.53052,                0.97594,                0.52504,                0.60413,                0.46233,                0.33205,                 1.2484,                 1.2245,                 1.0938,             0.00017641,             0.00017641,             0.00017641
                     60,                0.97841,                 0.5326,                0.97807,                0.51767,                0.60542,                0.44314,                0.32003,                 1.2466,                 1.2503,                 1.0975,             0.00016867,             0.00016867,             0.00016867
